 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
446,2,0.500,49.000,4536,2.257,1.128,90.000,446,1,255
447,2,123.500,500.000,4536,65.562,0.039,104.621,447,1,255
448,0,NaN,NaN,4536,NaN,NaN,0.000,448,1,255
449,1,517.500,797.500,4536,1.128,1.128,0.000,449,1,255
450,0,NaN,NaN,4536,NaN,NaN,0.000,450,1,255
451,2,0.500,239.000,4536,2.257,1.128,90.000,451,1,255
452,5,403.500,89.100,4536,57.929,0.110,41.248,452,1,255
453,1,0.500,971.500,4536,1.128,1.128,0.000,453,1,255
454,0,NaN,NaN,4536,NaN,NaN,0.000,454,1,255
455,0,NaN,NaN,4536,NaN,NaN,0.000,455,1,255
456,7,740.500,481.500,4536,77.900,0.114,161.611,456,1,255
457,4,731.500,0.750,4536,2.734,1.863,0.000,457,1,255
458,1,879.500,279.500,4536,1.128,1.128,0.000,458,1,255
459,4,242.250,823.500,4536,2.734,1.863,90.000,459,1,255
460,0,NaN,NaN,4536,NaN,NaN,0.000,460,1,255
461,0,NaN,NaN,4536,NaN,NaN,0.000,461,1,255
462,0,NaN,NaN,4536,NaN,NaN,0.000,462,1,255
463,3,432.167,495.500,4536,69.367,0.055,168.924,463,1,255
464,0,NaN,NaN,4536,NaN,NaN,0.000,464,1,255
465,2,404.000,342.500,4536,58.875,0.043,119.501,465,1,255
466,6,47.500,785.000,4536,48.302,0.158,59.704,466,1,255
467,2,0.500,386.000,4536,2.257,1.128,90.000,467,1,255
468,3,613.167,429.500,4536,3.373,1.132,160.043,468,1,255
469,0,NaN,NaN,4536,NaN,NaN,0.000,469,1,255
470,1,395.500,733.500,4536,1.128,1.128,0.000,470,1,255
471,0,NaN,NaN,4536,NaN,NaN,0.000,471,1,255
472,0,NaN,NaN,4536,NaN,NaN,0.000,472,1,255
473,13,124.192,516.885,4536,10.521,1.573,24.522,473,1,255
474,2,0.500,349.000,4536,29.775,0.086,90.000,474,1,255
475,6,648.000,396.500,4536,85.381,0.089,28.598,475,1,255
476,3,0.500,688.500,4536,3.385,1.128,90.000,476,1,255
477,5,0.700,64.100,4536,3.732,1.706,95.152,477,1,255
478,1,1295.500,0.500,4536,1.128,1.128,90.000,478,1,255
479,0,NaN,NaN,4536,NaN,NaN,0.000,479,1,255
480,0,NaN,NaN,4536,NaN,NaN,0.000,480,1,255
481,2,13.000,0.500,4536,2.257,1.128,0.000,481,1,255
482,7,585.929,324.357,4536,4.442,2.007,166.035,482,1,255
483,4,266.250,8.250,4536,54.466,0.094,1.670,483,1,255
484,3,0.500,302.500,4536,3.385,1.128,90.000,484,1,255
485,0,NaN,NaN,4536,NaN,NaN,0.000,485,1,255
486,3,0.500,175.167,4536,55.426,0.069,90.000,486,1,255
487,0,NaN,NaN,4536,NaN,NaN,0.000,487,1,255
488,0,NaN,NaN,4536,NaN,NaN,0.000,488,1,255
489,3,955.167,89.167,4536,54.825,0.070,152.478,489,1,255
490,0,NaN,NaN,4536,NaN,NaN,0.000,490,1,255
491,0,NaN,NaN,4536,NaN,NaN,0.000,491,1,255
492,0,NaN,NaN,4536,NaN,NaN,0.000,492,1,255
493,3,888.833,271.833,4536,22.726,0.168,23.727,493,1,255
494,0,NaN,NaN,4536,NaN,NaN,0.000,494,1,255
495,0,NaN,NaN,4536,NaN,NaN,0.000,495,1,255
496,0,NaN,NaN,4536,NaN,NaN,0.000,496,1,255
497,5,562.100,547.300,4536,3.612,1.763,61.215,497,1,255
498,2,0.500,240.000,4536,2.257,1.128,90.000,498,1,255
499,1,1295.500,425.500,4536,1.128,1.128,0.000,499,1,255
500,4,388.000,670.750,4536,62.237,0.082,135.541,500,1,255
501,6,0.500,384.000,4536,100.610,0.076,90.000,501,1,255
502,2,903.000,971.500,4536,2.257,1.128,0.000,502,1,255
503,1,0.500,242.500,4536,1.128,1.128,90.000,503,1,255
504,0,NaN,NaN,4536,NaN,NaN,0.000,504,1,255
505,1,1295.500,426.500,4536,1.128,1.128,0.000,505,1,255
506,2,1295.500,283.000,4536,2.257,1.128,90.000,506,1,255
507,8,162.625,8.000,4536,43.545,0.234,179.317,507,1,255
508,3,958.167,623.500,4536,64.651,0.059,156.955,508,1,255
509,8,536.000,22.875,4536,78.094,0.130,2.366,509,1,255
510,1,482.500,699.500,4536,1.128,1.128,0.000,510,1,255
