"year","campaign","sample_id","vessel_order","species","rmse_fitplc","rmse_spline","p12_fitplc","p50_fitplc","p88_fitplc","p12_lwr","p50_lwr","p88_lwr","p12_upr","p50_upr","p88_upr","p12_spline","p50_spline","p88_spline","date","date_plot"
"2024","2","FREX_07","all","FREX",238.710931900106,4.5908127494441,-4.02849550052934,-4.53392008575199,-5.03873615522412,-4.00712873778222,-4.51749272225345,-5.02037127075288,-4.05133698510745,-4.54810788704081,-5.05841906969801,-4.2340560618952,-4.59463841435187,-4.89417150477543,"2024-07-09",2000-07-09
"2024","2","FREX_07","major","FREX",210.33466328657,4.56864776605152,-3.87683728519535,-4.46296753309689,-5.04993596094059,-3.85202822573334,-4.44283207510803,-5.02637174230915,-3.90449973479564,-4.48373172532091,-5.07161362751279,-3.85013530031078,-4.56084876309048,-4.876395612182,"2024-07-09",2000-07-09
"2024","2","FREX_08","all","FREX",187.922239632909,2.87024059322877,-2.86181388196835,-4.6461555819809,-6.43059578549295,-2.75959373185179,-4.58984207067611,-6.36877416265927,-2.93221653070659,-4.68633141909259,-6.48803455993907,-3.43884960696393,-4.20441853829545,-5.70944328634208,"2024-07-09",2000-07-09
"2024","2","FREX_08","major","FREX",229.114545159114,3.69985324403673,-1.93589876647965,-3.77586719374694,-5.61564371286539,-1.86387144320265,-3.741659636812,-5.58486957550763,-2.00352475654217,-3.81721974291946,-5.66040368662118,-3.43766772184256,-3.89171844060543,-5.33131499523816,"2024-07-09",2000-07-09
"2024","3","FASY_01","all","FASY",330.650907978191,1.22884765149634,-3.66127569994401,-4.10899838726419,-4.55650759455266,-3.63822046161336,-4.08928254302264,-4.53407316264607,-3.68163147122343,-4.12592320161195,-4.57927095672403,-3.58983906830528,-4.0776372841451,-4.56542276029197,"2024-08-13",2000-08-13
"2024","3","FASY_01","major","FASY",325.064679176501,3.30853977976404,-3.33427666415384,-3.79971336366097,-4.264269939132,-3.28012467158583,-3.76741594337094,-4.22754942690232,-3.38443220969651,-3.83833306858374,-4.30566051067675,-3.18364990504452,-3.69240858490843,-4.23512799337099,"2024-08-13",2000-08-13
"2024","3","FASY_02","all","FASY",237.036077767284,1.80699349683849,-3.61197775919132,-3.99557875122032,-4.37833290384428,-3.59360915185377,-3.97457537074585,-4.34147022159294,-3.64942358450942,-4.02295211137993,-4.42618928404643,-3.71034534082898,-4.0633902852973,-4.39587868948799,"2024-08-13",2000-08-13
"2024","3","FASY_02","major","FASY",244.793224612268,3.99766007554148,-3.15430661324419,-3.64058584015338,-4.12625698561699,-3.11023776752611,-3.61419320976207,-4.09632511860303,-3.20687985051819,-3.66817957132948,-4.16742227524443,-3.19729662104673,-3.69464954093758,-4.19201842929965,"2024-08-13",2000-08-13
"2024","3","FASY_03","all","FASY",314.237664143414,2.3715694130307,-4.44135473073437,-4.97361658304196,-5.50573541420335,-4.40880855826446,-4.94618898702273,-5.47178555778774,-4.47145087611487,-5.00278926261072,-5.55758791374927,-4.43375463335519,-5.00951493407602,-5.58528182214669,"2024-08-13",2000-08-13
"2024","3","FASY_03","major","FASY",370.802106616403,3.9446022617961,-4.12959985322751,-4.68299894008843,-5.23635772850752,-4.05940649677206,-4.6409072249983,-5.17638330391989,-4.21611786591955,-4.74121025295432,-5.30043443571251,-3.99238965401661,-4.66686265599687,-5.34137787201301,"2024-08-13",2000-08-13
